Exercise Price (E),Option Price (P),Asset Price (S)
105.0,0.02,232.87
110.0,0.01,232.87
115.0,0.03,232.87
120.0,0.01,232.87
125.0,0.01,232.87
130.0,0.01,232.87
140.0,0.01,232.87
145.0,0.01,232.87
150.0,0.01,232.87
155.0,0.01,232.87
160.0,0.02,232.87
165.0,0.01,232.87
170.0,0.01,232.87
175.0,0.01,232.87
180.0,0.02,232.87
185.0,0.02,232.87
190.0,0.01,232.87
192.5,0.04,232.87
195.0,0.01,232.87
197.5,0.02,232.87
200.0,0.01,232.87
202.5,0.02,232.87
205.0,0.02,232.87
207.5,0.03,232.87
210.0,0.04,232.87
212.5,0.04,232.87
215.0,0.04,232.87
217.5,0.05,232.87
220.0,0.07,232.87
222.5,0.1,232.87
225.0,0.16,232.87
227.5,0.27,232.87
230.0,0.55,232.87
232.5,1.27,232.87
235.0,2.7,232.87
237.5,4.8,232.87
240.0,7.03,232.87
242.5,9.53,232.87
245.0,14.7,232.87
247.5,15.25,232.87
250.0,19.5,232.87
252.5,21.95,232.87
255.0,30.3,232.87
260.0,29.75,232.87
270.0,42.05,232.87
285.0,57.55,232.87
300.0,72.6,232.87
